time_stamp translation_x translation_y translation_z rotation_x rotation_y rotation_z rotation_w
0.000000000 0 0 0 0.03589042673 -0.004080203605 -0.1343951645 0.9902692406 1
0.109994888 1.130838177 -0.3215897526 -0.00264739991 0.03622132508 -0.004975111124 -0.1343043228 0.9902654254 2
0.210042954 2.163012847 -0.6120286239 0.0022277832 0.03473109468 -0.003437040603 -0.1343824798 0.9903147413 3
0.310052872 3.192599502 -0.9043429913 0.00598144531 0.03476729343 -0.001345550578 -0.1343791528 0.9903189729 4
0.419983864 4.324981099 -1.228129027 0.0052947998 0.03466496652 -0.0002447653464 -0.1342376702 0.9903426317 5
0.520004034 5.35224373 -1.520691829 0.00113677978 0.03488278755 5.721395684e-05 -0.1341425898 0.9903478952 6
0.630076885 6.480811726 -1.841408083 -0.00467681885 0.03530812573 -0.0004069778828 -0.134005895 0.9903512461 7
0.730154038 7.511422567 -2.128167433 -0.01296234131 0.03506210269 -0.0009424470911 -0.1339148908 0.9903719315 8
0.830022812 8.55045835 -2.407538049 -0.02159881592 0.03474963686 -0.001257996666 -0.1338684366 0.9903888741 9
0.940022946 9.693145873 -2.713099115 -0.02973175049 0.0341815795 -0.001351034137 -0.1337583963 0.9904233871 10
1.040035010 10.72356711 -3.002177206 -0.03273773194 0.03392554829 -0.000839575864 -0.1337050048 0.9904399649 11
1.139995814 11.74948118 -3.314873697 -0.02917480469 0.03412493359 -0.0004716621638 -0.1337321981 0.9904296874 12
1.250138998 12.86949759 -3.645385067 -0.03037261963 0.03323543332 -0.000599116923 -0.133723663 0.9904610184 13
1.350070000 13.88493124 -3.950993932 -0.02953338623 0.03367308802 -0.0009523100746 -0.1337619122 0.9904407943 14
1.450048924 14.89637574 -4.24959466 -0.02940368653 0.03359414347 -0.0003979410689 -0.1336868872 0.9904539824 15
1.560039044 16.00401258 -4.57595109 -0.02880096436 0.0335729255 0.0003007652171 -0.1336353771 0.9904616874 16
1.660054922 17.00627385 -4.869032126 -0.03073883057 0.03372608287 0.0005055519975 -0.1335519317 0.9904676559 17
1.760072947 18.00523076 -5.161931252 -0.03369140625 0.03518360517 0.0005973116737 -0.1334942554 0.9904246771 18
1.870064974 19.09885889 -5.483401152 -0.03738403321 0.03461094016 0.00022825582 -0.1334360625 0.9904528499 19
1.970059872 20.08967084 -5.770661918 -0.04333496094 0.03390333464 -0.001270703064 -0.1334111434 0.9904798918 20
2.070091009 21.07466789 -6.056965992 -0.04904937745 0.0346126556 -0.001950540023 -0.1332303237 0.9904785915 21
2.180065870 22.15822891 -6.367379155 -0.04866790772 0.03293088339 -0.0009295201474 -0.1333302868 0.9905239662 22
2.280072928 23.14121315 -6.652356268 -0.04531097412 0.03177484996 0.0002096953299 -0.1334460541 0.9905465489 23
2.380101919 24.12085109 -6.935769781 -0.04770660401 0.03095078914 0.0005661488752 -0.1334252931 0.9905752971 24
2.490053892 25.19791934 -7.24748633 -0.05104827881 0.02998347116 0.001173914826 -0.1335080863 0.9905933597 25
2.590071917 26.1758822 -7.57103633 -0.05844116211 0.02908578374 0.00065165257 -0.1333946447 0.9906358873 26
2.690076828 27.16251476 -7.855436419 -0.04787445069 0.02765010169 -0.0003192256844 -0.1330461367 0.9907240259 27
2.800181866 28.24899329 -8.170063251 -0.03327941895 0.02646145952 -0.0007886591417 -0.1328112757 0.9907877342 28
2.900113821 29.23827987 -8.454399856 -0.02249908448 0.0249965202 0.0005190746664 -0.1325637617 0.9908590988 29
3.000102997 30.24331836 -8.784389939 -0.00383758545 0.02422997862 0.001660330025 -0.1324481324 0.9908923472 30
3.110131979 31.3441235 -9.091609867 0.00354003906 0.02308953585 0.001773133407 -0.1319986446 0.9909793576 31
3.210320950 32.34235558 -9.366272328 0.00930023193 0.02313988249 0.001296628771 -0.1315885412 0.9910334608 32
3.320159912 33.44028457 -9.676187934 0.00747680664 0.02317694544 0.001264140108 -0.1310158568 0.9911085089 33
3.420084000 34.45422729 -9.989017521 0.02469635009 0.02334791308 0.001560262158 -0.1306531483 0.9911519537 34
3.520176888 35.46845239 -10.291578 0.03228759765 0.02336841559 0.001600350573 -0.1303546271 0.9911907118 35
3.630147934 36.58999753 -10.62648918 0.03986358642 0.0230199814 0.00166306003 -0.1305190359 0.9911771264 36
3.730384827 37.60806474 -10.92856639 0.03996276855 0.02263327146 0.002229057365 -0.1311424583 0.9911026294 37
3.830142975 38.62778775 -11.23269809 0.03789520263 0.02248332632 0.002992458208 -0.1320482181 0.9909837604 38
3.940163851 39.74926773 -11.57000625 0.02838134765 0.02204670628 0.003015042558 -0.1332377637 0.99083427 39
4.040139914 40.7625556 -11.87296995 0.00467681884 0.02226443728 0.002439720718 -0.1344951104 0.9906610964 40
4.140152931 41.78419111 -12.1763316 -0.0150680542 0.02317964714 0.001950208123 -0.135647569 0.9904840421 41
4.250291824 42.92142534 -12.51520274 -0.02499389649 0.02370157253 0.002200780814 -0.1369947769 0.990285728 42
4.350216866 43.94084556 -12.85498924 -0.04893493653 0.02451351008 0.002626792203 -0.1382128155 0.9900956547 43
4.450163841 44.96934197 -13.19460505 -0.0659942627 0.02505202911 0.002518942964 -0.1393620313 0.9899213479 44
4.560168982 46.11016539 -13.57543067 -0.07250213623 0.02495631949 0.001919834865 -0.1405546018 0.9897564853 45
4.660189867 47.15406674 -13.91878478 -0.07903289795 0.0261673461 0.001456829869 -0.141502451 0.9895909276 46
4.760207892 48.19854402 -14.26652705 -0.08290863037 0.02629242236 0.001533476178 -0.1421718187 0.9894915517 47
4.870229006 49.3489066 -14.65383594 -0.07778167725 0.0284651947 0.001667102462 -0.1430732715 0.9893012648 48
4.970168829 50.40050971 -15.00082065 -0.06638336182 0.02922616937 0.001094055318 -0.1435064496 0.9892171314 49
5.070231915 51.45511145 -15.3454899 -0.05368804932 0.02928655911 -0.001341434275 -0.1437656257 0.9891774072 50
5.180199862 52.61472434 -15.71374677 -0.05037689209 0.02943677086 -0.003065235343 -0.1441350398 0.9891153478 51
5.280198813 53.6688696 -16.04986621 -0.03855133057 0.02837834243 -0.001923604943 -0.1446553472 0.9890732025 52
5.380210877 54.72344727 -16.38260754 -0.02673339844 0.02790115658 -0.0001057134708 -0.145137768 0.9890179688 53
5.490195990 55.8869378 -16.72904256 -0.01486206055 0.02816926588 0.0001132836512 -0.1451728437 0.9890052199 54
5.590205908 56.94755882 -17.04643116 -0.00396728516 0.0287279214 -0.0002629305378 -0.1450505361 0.9890070674 55
5.700318813 58.11093854 -17.38353993 0.01480102539 0.02976004171 -0.0005523066394 -0.1446810042 0.9890305566 56
5.800335884 59.16789415 -17.70221935 0.02709960937 0.03021037641 -0.0004167581828 -0.1441118992 0.9891000556 57
5.900187016 60.22606124 -18.02254227 0.04548645019 0.03084177686 -0.0001000678583 -0.1433261392 0.9891948203 58
6.000216007 61.28661286 -18.34135445 0.07035827636 0.02997863734 -0.0002969629436 -0.1424600205 0.9893464184 59
6.110245943 62.45115994 -18.70312022 0.09217834472 0.02951623469 -0.0005793506882 -0.1415739167 0.9894873836 60
6.210436821 63.51127207 -19.02833878 0.1150970459 0.02849333826 0.0003544050153 -0.1408827426 0.9896161159 61
6.310294867 64.56998585 -19.35191893 0.1274108887 0.02732505222 0.00148824927 -0.1401240659 0.9897557137 62
6.420284033 65.7455646 -19.69659214 0.1347351074 0.02585053741 0.001552230257 -0.1391579634 0.9899315135 63
6.520248890 66.81487443 -20.01696626 0.1421508789 0.02437099302 0.0007121341663 -0.1381916238 0.9901053594 64
