time_stamp orientation_x orientation_y orientation_z orientation_w angular_x angular_y angular_z acc_x acc_y acc_z
0.000000000 0.03589042673 0.03589042673 0.03589042673 0.9902692406 0.01666238705 -0.03697614751 0.0006042210418 0.04197812926 0.1365276131 9.950166807 1
0.109994888 0.03622132508 0.03622132508 0.03622132508 0.9902654254 0.002733659688 -0.01275961076 0.001955741501 0.08709526843 0.2391723659 10.31265638 2
0.210042954 0.03473109468 0.03473109468 0.03473109468 0.9903147413 -0.02679077307 0.0227197086 0.0004591075734 0.1908067514 0.1030024286 10.24516488 3
0.310052872 0.03476729343 0.03476729343 0.03476729343 0.9903189729 -0.00423391292 0.03577466411 0.002543051912 -0.09129836249 -0.1877746752 9.334138334 4
0.419983864 0.03466496652 0.03466496652 0.03466496652 0.9903426317 -0.005121682713 0.02214568594 0.003911769701 -0.1012845821 -0.02862321388 9.497079424 5
0.520004034 0.03488278755 0.03488278755 0.03488278755 0.9903478952 0.002985393732 0.007765275617 0.002139764523 -0.1707407472 -0.04602234223 9.604518077 6
0.630076885 0.03530812573 0.03530812573 0.03530812573 0.9903512461 0.005965964961 -0.007184602243 0.00194902478 -0.1952705759 0.04306020056 9.710517036 7
0.730154038 0.03506210269 0.03506210269 0.03506210269 0.9903719315 -0.0001423531429 -0.01039410171 0.001624181758 -0.1912331963 0.1211254866 9.868782122 8
0.830022812 0.03474963686 0.03474963686 0.03474963686 0.9903888741 -0.005402478138 -0.007265492433 0.001553761886 -0.2555076112 0.003838386489 9.930842172 9
0.940022946 0.0341815795 0.0341815795 0.0341815795 0.9904233871 -0.009484164223 -0.003984669497 0.002199860624 -0.16793633 -0.03516535938 9.962720548 10
1.040035010 0.03392554829 0.03392554829 0.03392554829 0.9904399649 -0.006458862631 0.006928431158 0.001864170168 -0.3298448549 -0.006980897974 9.981441678 11
1.139995814 0.03412493359 0.03412493359 0.03412493359 0.9904296874 2.806188777e-05 0.004851472368 0.0005611699246 -0.2942152433 0.05729135253 9.735303837 12
1.250138998 0.03323543332 0.03323543332 0.03323543332 0.9904610184 -0.00802926872 -0.004169612002 0.0002136812157 -0.3704251084 0.003750858379 9.748595135 13
1.350070000 0.03367308802 0.03367308802 0.03367308802 0.9904407943 0.006223574293 -0.005317887034 0.000517397034 -0.2522678461 -0.1662251579 9.876694466 14
1.450048924 0.03359414347 0.03359414347 0.03359414347 0.9904539824 -0.001788753415 0.009240775143 0.002123354795 -0.3548878436 0.05708154385 10.00219192 15
1.560039044 0.0335729255 0.0335729255 0.0335729255 0.9904616874 -0.003480268263 0.01068167117 0.002670428222 -0.3534140255 -0.01120042097 9.725422986 16
1.660054922 0.03372608287 0.03372608287 0.03372608287 0.9904676559 0.003080101796 0.004493496964 0.001750132352 -0.3507632209 -0.08548907119 9.664148617 17
1.760072947 0.03518360517 0.03518360517 0.03518360517 0.9904246771 0.02467601364 0.003725689999 0.001491052183 -0.4072127694 -0.04829005867 9.713058599 18
1.870064974 0.03461094016 0.03461094016 0.03461094016 0.9904528499 -0.006994528412 -0.008598198094 0.002021873018 -0.4882404425 0.2006166515 9.734179739 19
1.970059872 0.03390333464 0.03390333464 0.03390333464 0.9904798918 -0.004406465539 -0.03072841979 0.0008170860862 -0.4567901317 -0.3879363246 9.648846852 20
2.070091009 0.0346126556 0.0346126556 0.0346126556 0.9904785915 0.008559198008 -0.008660159434 0.003308925923 -0.4877574033 0.1636841154 10.05955485 21
2.180065870 0.03293088339 0.03293088339 0.03293088339 0.9905239662 -0.02922729645 0.01477526854 -0.001479254652 -0.1676334 0.1909222049 10.11099678 22
2.280072928 0.03177484996 0.03177484996 0.03177484996 0.9905465489 -0.02702860746 0.01572067252 -0.001759172541 -0.09231759432 -0.1510496763 9.406360992 23
2.380101919 0.03095078914 0.03095078914 0.03095078914 0.9905752971 -0.01841846503 0.006681758655 0.0005815622359 -0.1022093704 -0.04848317565 9.622795461 24
2.490053892 0.02998347116 0.02998347116 0.02998347116 0.9905933597 -0.02193654677 0.007936820075 -0.0003148859935 0.03163168452 0.02136776922 9.647000699 25
2.590071917 0.02908578374 0.02908578374 0.02908578374 0.9906358873 -0.01752118651 -0.01270542632 0.002641044972 0.08979251102 0.01319862441 9.672977025 26
2.690076828 0.02765010169 0.02765010169 0.02765010169 0.9907240259 -0.02544910226 -0.02352060974 0.00625443876 0.2391481093 0.1253469717 9.623229989 27
2.800181866 0.02646145952 0.02646145952 0.02646145952 0.9907877342 -0.01851815371 -0.0102866249 0.005071149629 0.2903024234 0.08458516735 10.19936529 28
2.900113821 0.0249965202 0.0249965202 0.0249965202 0.9908590988 -0.02976710207 0.01621747784 0.006564018991 0.3001921062 0.03508952047 10.00600107 29
3.000102997 0.02422997862 0.02422997862 0.02422997862 0.9908923472 -0.02041229954 0.01644728297 0.005608593623 0.1704429233 -0.03074499986 9.665280892 30
